gwno,year,month,sb_events,sb_deaths,ns_events,ns_deaths,os_events,os_deaths,provisional
630,1990,6,6,23,0,0,0,0,0
630,1990,7,5,7,0,0,0,0,0
630,1990,8,1,0,0,0,0,0,0
630,1991,1,1,0,0,0,0,0,0
630,1991,3,2,44,0,0,0,0,0
630,1992,4,2,4,0,0,0,0,0
630,1993,1,1,1,0,0,0,0,0
630,1993,2,1,14,0,0,0,0,0
630,1993,3,1,10,0,0,0,0,0
630,1993,4,1,10,0,0,0,0,0
630,1993,5,5,19,0,0,0,0,0
630,1993,8,2,4,0,0,0,0,0
630,1993,9,4,85,0,0,0,0,0
630,1993,10,1,8,0,0,0,0,0
630,1993,11,1,2,0,0,0,0,0
630,1994,4,1,1,0,0,0,0,0
630,1994,8,1,15,0,0,0,0,0
630,1995,8,1,2,0,0,0,0,0
630,1995,11,2,15,0,0,0,0,0
630,1996,6,1,3,0,0,0,0,0
630,1996,7,2,20,0,0,0,0,0
630,1996,9,1,11,0,0,0,0,0
630,1997,1,10,22,0,0,0,0,0
630,1997,2,1,3,0,0,0,0,0
630,1997,10,1,4,0,0,0,0,0
630,1997,11,1,8,0,0,0,0,0
630,1998,3,1,6,0,0,0,0,0
630,1998,6,1,3,0,0,0,0,0
630,1998,8,2,2,0,0,0,0,0
630,1998,10,1,2,0,0,0,0,0
630,1999,4,1,1,0,0,0,0,0
630,1999,6,1,1,0,0,0,0,0
630,1999,7,2,12,0,0,0,0,0
630,1999,11,1,2,0,0,0,0,0
630,1999,12,1,3,0,0,0,0,0
630,2000,1,2,4,0,0,0,0,0
630,2000,2,2,13,0,0,2,0,0
630,2000,3,1,2,0,0,0,0,0
630,2000,4,2,3,0,0,0,0,0
630,2000,5,1,1,0,0,0,0,0
630,2000,6,3,3,0,0,0,0,0
630,2000,7,1,7,0,0,0,0,0
630,2000,8,4,4,0,0,0,0,0
630,2000,10,1,1,0,0,1,1,0
630,2000,11,1,2,0,0,0,0,0
630,2001,1,2,7,0,0,0,0,0
630,2001,2,1,3,0,0,0,0,0
630,2001,3,3,4,0,0,0,0,0
630,2001,4,5,93,0,0,0,0,0
630,2001,5,2,3,0,0,0,0,0
630,2001,6,1,2,0,0,0,0,0
630,2001,7,1,1,0,0,0,0,0
630,2002,12,2,3,0,0,0,0,0
630,2003,1,1,2,0,0,0,0,0
630,2004,6,1,1,0,0,0,0,0
630,2005,6,1,1,0,0,0,0,0
630,2005,7,4,23,0,0,4,11,0
630,2005,8,3,6,0,0,3,14,0
630,2005,9,1,0,0,0,0,0,0
630,2005,11,1,1,0,0,0,0,0
630,2006,1,1,1,0,0,0,0,0
630,2006,2,0,0,0,0,1,9,0
630,2006,3,5,25,0,0,0,0,0
630,2006,4,3,4,0,0,0,0,0
630,2006,5,7,7,0,0,0,0,0
630,2006,6,1,1,0,0,0,0,0
630,2006,8,4,16,0,0,0,0,0
630,2006,10,1,1,0,0,0,0,0
630,2006,11,1,1,0,0,0,0,0
630,2006,12,1,1,0,0,0,0,0
630,2007,2,6,51,0,0,0,0,0
630,2007,3,1,0,0,0,0,0,0
630,2007,5,1,12,0,0,0,0,0
630,2007,7,1,0,0,0,0,0,0
630,2007,9,7,10,0,0,0,0,0
630,2007,10,1,1,0,0,0,0,0
630,2007,11,2,3,0,0,0,0,0
630,2007,12,5,14,0,0,0,0,0
630,2008,1,1,2,0,0,0,0,0
630,2008,3,1,0,0,0,0,0,0
630,2008,5,4,23,0,0,0,0,0
630,2008,6,4,18,0,0,0,0,0
630,2008,7,2,3,0,0,1,1,0
630,2008,8,2,8,0,0,0,0,0
630,2008,9,2,16,0,0,0,0,0
630,2008,12,3,47,0,0,0,0,0
630,2009,1,1,12,0,0,0,0,0
630,2009,2,1,4,0,0,1,1,0
630,2009,4,3,29,0,0,0,0,0
630,2009,5,1,8,0,0,1,25,0
630,2009,6,1,4,0,0,14,47,0
630,2009,7,2,6,0,0,2,1,0
630,2009,8,2,26,0,0,0,0,0
630,2009,10,2,44,0,0,0,0,0
630,2009,11,0,0,0,0,1,1,0
630,2010,1,3,11,0,0,1,5,0
630,2010,4,1,3,0,0,0,0,0
630,2010,5,1,5,0,0,0,0,0
630,2010,7,1,28,0,0,0,0,0
630,2010,8,2,4,0,0,0,0,0
630,2010,9,2,4,0,0,0,0,0
630,2010,12,1,41,0,0,0,0,0
630,2011,5,1,1,0,0,0,0,0
630,2011,7,7,162,0,0,0,0,0
630,2011,8,2,8,0,0,0,0,0
630,2011,9,3,44,0,0,0,0,0
630,2011,12,1,5,0,0,0,0,0
630,2012,2,1,5,0,0,0,0,0
630,2012,3,1,3,0,0,0,0,0
630,2012,4,1,4,0,0,0,0,0
630,2012,5,1,1,0,0,0,0,0
630,2012,6,1,4,0,0,0,0,0
630,2013,8,1,2,0,0,0,0,0
630,2013,10,3,9,0,0,0,0,0
630,2014,6,1,2,0,0,0,0,0
630,2014,10,1,3,0,0,0,0,0
630,2015,4,2,10,0,0,0,0,0
630,2015,7,2,5,0,0,0,0,0
630,2015,8,3,6,0,0,0,0,0
630,2015,9,1,4,0,0,0,0,0
630,2016,5,2,5,0,0,0,0,0
630,2016,6,7,26,0,0,0,0,0
630,2016,7,3,8,0,0,0,0,0
630,2016,8,2,4,0,0,0,0,0
630,2016,9,5,13,0,0,0,0,0
630,2016,10,6,13,0,0,0,0,0
630,2017,1,1,1,0,0,0,0,0
630,2017,4,1,15,0,0,0,0,0
630,2017,5,1,2,0,0,0,0,0
630,2017,6,2,27,0,0,0,0,0
630,2017,7,1,0,0,0,0,0,0
630,2017,8,2,2,0,0,0,0,0
630,2017,9,2,2,0,0,0,0,0
630,2017,11,1,8,0,0,0,0,0
630,2017,12,1,1,0,0,0,0,0
630,2018,1,2,11,0,0,0,0,0
630,2018,3,1,4,0,0,0,0,0
630,2018,4,1,7,0,0,0,0,0
630,2018,6,4,18,0,0,1,1,0
630,2018,7,5,27,0,0,0,0,0
630,2018,8,1,11,0,0,0,0,0
630,2018,9,2,10,0,0,0,0,0
630,2018,10,1,3,0,0,0,0,0
630,2019,2,2,29,0,0,0,0,0
630,2019,5,1,4,0,0,0,0,0
630,2019,6,1,4,0,0,0,0,0
630,2019,7,5,17,0,0,0,0,0
630,2019,8,4,7,0,0,0,0,0
630,2019,9,0,0,0,0,1,1,0
630,2019,10,1,0,0,0,0,0,0
630,2019,11,0,0,0,0,74,251,0
630,2020,1,1,176,0,0,0,0,0
630,2020,3,1,1,0,0,0,0,0
630,2020,5,4,10,0,0,1,23,0
630,2020,6,1,3,0,0,2,1,0
630,2020,7,4,12,0,0,0,0,0
630,2020,8,2,5,0,0,0,0,0
630,2020,9,2,5,0,0,1,1,0
630,2020,10,2,3,0,0,1,0,0
630,2020,11,2,4,0,0,2,2,0
630,2021,2,1,2,0,0,3,12,0
630,2021,3,4,10,0,0,1,1,0
630,2021,5,3,19,0,0,1,1,0
630,2021,6,3,10,0,0,1,1,0
630,2021,7,3,9,0,0,10,9,0
630,2021,8,0,0,0,0,1,1,0
630,2021,9,1,2,0,0,1,1,0
630,2021,12,1,4,0,0,0,0,0
630,2022,5,0,0,0,0,1,1,0
630,2022,8,1,1,0,0,0,0,0
630,2022,9,1,19,0,0,68,81,0
630,2022,10,1,20,0,0,38,42,0
630,2022,11,0,0,0,0,42,81,0
630,2022,12,0,0,0,0,6,6,0
630,2023,3,0,0,0,0,2,2,0
630,2023,5,1,6,0,0,0,0,0
630,2023,6,2,3,0,0,0,0,0
630,2023,7,2,10,0,0,1,1,0
630,2023,8,2,5,0,0,0,0,0
630,2023,9,1,2,0,0,0,0,0
630,2023,11,1,1,0,0,0,0,0
630,2023,12,1,13,0,0,0,0,0
630,2024,1,3,12,0,0,1,94,0
630,2024,2,2,2,0,0,1,1,0
630,2024,3,2,3,0,0,0,0,0
630,2024,4,3,40,0,0,0,0,0
630,2024,6,1,2,0,0,0,0,0
630,2024,7,1,2,0,0,0,0,0
630,2024,8,1,1,0,0,0,0,0
630,2024,9,3,6,0,0,0,0,0
630,2024,10,7,26,0,0,0,0,0
630,2024,11,8,30,0,0,0,0,0
630,2024,12,1,4,0,0,0,0,0
630,2025,2,1,1,0,0,0,0,0
630,2025,3,1,2,0,0,1,1,0
630,2025,4,2,4,0,0,0,0,0
630,2025,6,34,1188,0,0,3,3,0
630,2025,7,8,18,0,0,5,9,0
630,2025,8,7,25,0,0,1,1,0
630,2025,9,5,8,0,0,0,0,0
630,2025,10,2,2,0,0,1,1,0
630,2025,11,1,1,0,0,0,0,0
630,2025,12,1,0,0,0,3,4,0
630,2026,1,6,14,0,0,26,19880,1
630,2026,2,13,3285,0,0,1,2,1
630,2026,3,28,157,0,0,1,3,1
630,2026,4,23,127,0,0,0,0,1
630,2026,5,5,24,0,0,1,2,1
640,1989,1,2,2,0,0,0,0,0
640,1989,3,7,8,0,0,2,3,0
640,1989,4,7,11,0,0,5,6,0
640,1989,5,16,61,0,0,5,10,0
640,1989,6,13,35,0,0,3,8,0
640,1989,7,17,31,0,0,5,13,0
640,1989,8,23,42,0,0,11,34,0
640,1989,9,18,42,0,0,0,0,0
640,1989,10,35,86,0,0,4,9,0
640,1989,11,11,79,0,0,0,0,0
640,1989,12,14,45,0,0,3,13,0
640,1990,1,8,12,0,0,0,0,0
640,1990,2,6,22,0,0,0,0,0
640,1990,3,13,38,0,0,5,17,0
640,1990,4,12,46,0,0,5,16,0
640,1990,5,23,86,0,0,2,6,0
640,1990,6,23,83,0,0,9,19,0
640,1990,7,19,65,0,0,3,4,0
640,1990,8,21,51,0,0,1,1,0
640,1990,9,23,50,0,0,7,17,0
640,1990,10,11,26,0,0,2,2,0
640,1990,11,18,40,0,0,1,1,0
640,1990,12,10,25,0,0,1,3,0
640,1991,1,5,6,0,0,0,0,0
640,1991,2,8,15,0,0,0,0,0
640,1991,3,12,19,0,0,1,1,0
640,1991,4,16,29,0,0,2,9,0
640,1991,5,9,43,0,0,0,0,0
640,1991,6,9,20,0,0,0,0,0
640,1991,7,19,81,0,0,3,14,0
640,1991,8,10,46,0,0,1,2,0
640,1991,9,10,24,0,0,2,3,0
640,1991,10,19,52,0,0,4,4,0
640,1991,11,13,22,0,0,3,5,0
640,1991,12,10,40,0,0,2,13,0
640,1992,1,4,12,0,0,1,1,0
640,1992,2,12,44,0,0,1,2,0
640,1992,3,24,84,0,0,1,1,0
640,1992,4,34,129,0,0,2,5,0
640,1992,5,28,197,0,0,3,8,0
640,1992,6,20,94,0,0,9,53,0
640,1992,7,23,118,0,0,9,27,0
640,1992,8,29,188,0,0,3,4,0
640,1992,9,43,484,0,0,12,33,0
640,1992,10,39,247,0,0,9,58,0
640,1992,11,18,62,0,0,2,7,0
640,1992,12,11,51,0,0,4,17,0
640,1993,1,13,74,0,0,3,9,0
