gwno_a,gwno_b,year,disputes,hostility,fatal
339,345,1997,1,3,0
339,345,1998,1,4,0
339,345,1999,1,4,0
339,345,2000,1,3,0
339,350,1946,1,4,0
339,350,1947,1,4,0
339,350,1948,1,4,1
339,350,1949,1,4,1
339,350,1994,1,4,1
339,350,1997,1,4,0
339,620,2011,1,2,0
340,347,2011,1,3,0
340,347,2013,1,4,0
341,620,2011,1,2,0
343,345,1994,1,3,0
343,345,1998,1,3,0
343,345,1999,1,3,0
344,345,1992,1,4,0
344,345,1993,2,4,1
344,345,1995,1,3,0
344,345,1997,1,3,0
344,345,2000,1,4,0
344,346,1992,1,4,0
344,346,1993,2,4,0
344,346,1994,2,4,1
344,346,1996,1,4,0
344,349,2002,1,3,0
344,620,2011,1,2,0
344,850,2005,1,4,0
345,346,1992,1,4,0
345,346,1993,1,4,1
345,346,1994,1,3,0
345,349,2000,1,3,0
345,350,1992,1,4,0
345,350,1993,1,4,0
345,350,1994,1,4,0
345,350,1995,1,4,0
345,350,1996,1,4,0
345,350,1998,1,3,0
345,350,1999,1,3,0
345,350,2000,2,3,0
345,355,1950,1,4,0
345,355,1951,1,4,1
345,355,1952,1,4,1
345,355,1971,1,3,0
345,355,2000,1,3,0
345,360,1950,1,4,0
345,360,1951,1,4,1
345,360,1952,1,4,1
345,360,1993,1,4,0
345,360,2000,1,3,0
345,365,1949,1,4,0
345,365,1950,1,4,0
345,365,1951,1,4,1
345,365,1952,1,4,1
345,365,1980,1,2,0
345,365,1998,1,3,0
345,365,2000,1,3,0
345,366,2000,1,3,0
345,368,1998,1,3,0
345,368,2000,1,3,0
345,369,2000,1,3,0
345,372,2000,1,3,0
345,373,2000,1,3,0
345,375,2000,1,3,0
345,380,2000,1,3,0
345,385,1998,1,4,0
345,385,1999,1,4,0
345,385,2000,2,3,0
345,390,1992,1,3,0
345,390,1998,1,4,0
345,390,1999,1,4,0
345,390,2000,2,3,0
345,395,1998,1,3,0
345,395,1999,1,3,0
345,395,2000,2,3,0
345,600,2000,1,3,0
345,640,1992,1,3,0
345,640,1993,1,2,0
345,640,1998,1,4,0
345,640,1999,1,4,0
345,640,2000,2,3,0
345,663,2000,1,3,0
345,696,2000,1,3,0
349,620,2011,1,2,0
350,355,1950,1,3,0
