gwno,year,battle_deaths
770,1971,5611
770,1974,2150
770,1975,2150
770,1976,2150
770,1977,2150
770,1987,50
770,1989,25
770,1990,50
770,1991,50
770,1992,12
770,1995,1700
770,1996,512
770,1997,12
770,1999,544
770,2000,100
770,2001,50
770,2003,105
770,2004,99
770,2005,175
770,2006,454
770,2007,3714
770,2008,6665
771,1975,71
771,1976,71
771,1977,71
771,1978,71
771,1979,71
771,1980,71
771,1981,71
771,1982,71
771,1983,72
771,1984,72
771,1985,72
771,1986,72
771,1987,72
771,1988,72
771,1989,25
771,1990,43
771,1991,46
771,1992,38
775,1969,150
775,1990,100
775,1996,80
775,2002,230
775,2003,31
775,2005,70
775,2006,158
775,2007,129
775,2008,66
780,1971,1260
780,1984,1666
780,1985,1667
780,1986,1667
780,1987,2000
780,1988,3000
780,1989,6000
780,1990,4025
780,1991,6000
780,1992,4000
780,1993,2000
780,1994,1500
780,1995,5000
780,1996,3000
780,1997,4000
780,1998,4000
780,1999,3500
780,2000,4000
780,2001,1000
780,2003,59
780,2005,109
780,2006,4126
780,2007,4369
780,2008,11144
790,1960,25
790,1961,114
790,1962,111
790,1996,100
790,1997,100
790,1998,250
790,1999,159
790,2000,260
790,2001,429
790,2002,3947
790,2003,2105
790,2004,2451
790,2005,1848
790,2006,480
800,1980,822
800,1987,50
800,1988,150
800,2003,27
800,2004,500
800,2005,580
800,2006,278
800,2007,452
800,2008,230
811,1967,1000
811,1968,950
811,1969,950
811,1970,37420
811,1971,37420
811,1972,37420
811,1973,37420
811,1974,37420
811,1975,60000
811,1978,32500
811,1979,32500
811,1980,6971
811,1981,6971
811,1982,6971
811,1983,6971
811,1984,6972
811,1985,6972
811,1986,6972
811,1987,1000
811,1988,200
811,1989,1000
811,1990,1000
811,1991,75
811,1993,200
811,1994,25
811,1995,25
811,1996,25
811,1997,50
811,1998,25
812,1987,50
812,1988,150
812,1989,30
812,1990,25
816,1946,41947
816,1947,41947
816,1948,41947
816,1949,41947
816,1950,41947
816,1951,41947
816,1952,41947
816,1953,41947
816,1954,41947
816,1965,35213
816,1966,38981
816,1967,43746
816,1968,92312
